variable;mean;median;sd;mad;q5;q95;rhat;ess_bulk;ess_tail;
lp__;-25397.92805;-25397.6;9.11015697271504;9.19212000000108;-25413.105;-25383.5;0.999876094757007;6189.00378204447;6741.58429531047;
y0[1];-19.3060743625;-19.30595;0.051926288153437;0.0481103699999959;-19.390805;-19.221995;1.00049251142313;6708.99400208791;6455.95298056834;
y0[2];6.7805361625;6.78437;0.378528429732151;0.351998892;6.1650875;7.394266;1.00029195570317;6355.18361540156;6357.14755178973;
sigma[1];0.0887907013;0.08590375;0.0186168106450999;0.01661875992;0.06458267;0.1229142;1.00030180055236;6482.49645088721;6601.97690279402;
sigma[2];0.652051469625;0.6343385;0.153275966949737;0.1442377062;0.43637535;0.92404285;0.999916487584287;5147.19686880401;6137.62278774006;
beta[1;1];0.95985428792275;0.943303;1.17569842726281;1.1581789506;-0.9587892;2.8779795;0.999923912687748;5564.63378242412;6038.19785961478
beta[2;1];-0.3865964814145;-0.3625065;1.23511922238938;1.2264941934;-2.4256115;1.642974;1.00002520506057;5829.13401831082;6265.19044471337
beta[3;1];-0.503070220877962;-0.510224;1.19541255378315;1.1668662453;-2.458701;1.4491735;0.999874231937728;5685.52163509056;6352.85967029266
beta[1;2];-0.119372646900162;-0.129026;0.661190551029167;0.6607177248;-1.200219;0.970154049999999;1.00001291859293;6759.25357349049;7213.13114418815
beta[2;2];1.12602267747475;1.1248;0.844728940626804;0.8440308366;-0.27186205;2.53;1.00054431869268;6471.06721028757;6600.87170823305
beta[3;2];-1.02158170255662;-1.01483;0.729231843006535;0.7222663812;-2.2240465;0.177569599999999;1.00032829242632;6735.2701120744;6228.09790627295
beta[1;3];0.3150828464496;0.3126775;0.388487979678688;0.38769152331;-0.3218977;0.9429963;1.00024554451033;6197.58110168433;6834.58327438728
beta[2;3];0.141830652716225;0.137086;0.507063254587426;0.5040187656;-0.6972055;0.983705949999999;1.00084841178021;7089.83562998954;6937.57396033854
beta[3;3];-0.452813629359562;-0.454459;0.395377262229266;0.3980402937;-1.098202;0.187995699999999;1.00080592508388;7060.15745599707;7303.69507834176
beta[1;4];0.0683952798637;0.0693385;0.226715309446674;0.22539619389;-0.3062947;0.43615135;1.00063707933997;6995.62054424018;7001.5077278743
beta[2;4];-0.01979943529775;-0.0203285;0.249888408094593;0.2543407713;-0.4334142;0.386497749999999;1.00042887039655;6646.13280345111;6596.58970285096
beta[3;4];-0.05069562113365;-0.05105595;0.22359752808645;0.2259052446;-0.4200382;0.31652215;1.00127949648182;6893.87048182621;6845.04471629551
lambda[1];0.0270026737875;0.0269856;0.000997568397611234;0.00101357949;0.02537124;0.028650175;1.00022961905309;7177.55147863508;7109.2057249023;
lambda[2];0.0269992406375;0.02699085;0.000993320897161605;0.000995343510000002;0.02538897;0.028653425;0.999753200047902;7202.03838819696;6840.6030820769;
lambda[3];0.0268030907375;0.026786;0.000986190904744376;0.000966877590000001;0.02519905;0.028448045;1.00022125728355;6890.87016500751;6299.96964161205;
lambda[4];0.01900037515;0.0189992;0.0010101548265064;0.00103589262;0.017370845;0.020687;0.999755177984534;7116.18035270073;6504.33737220362;
lambda[5];0.0190115725375;0.01899155;0.000988044111249737;0.000988894199999999;0.017443275;0.02067013;1.00001326140603;6879.36963673906;6092.30866231596;
lambda[6];0.0190282926;0.0190168;0.000998904013881644;0.00100994712;0.017398655;0.02071451;0.999817755353485;7316.66119401644;6994.22839653536;
lambda[7];0.01098545385625;0.010951;0.0010032689731226;0.00100283064;0.009413423;0.012693515;0.999938269085986;6824.97005551578;6718.86111431325;
lambda[8];0.011013358575;0.01097815;0.00101000173483665;0.00099171114;0.009432141;0.01275338;1.0001388569097;7447.34527606297;6725.93873823697;
lambda[9];0.01081044357875;0.0107818;0.000980050313122718;0.000990302669999999;0.009280718;0.01245068;1.00012250284864;7057.64015500196;6699.07083985251;
lambda[10];0.00398957962875;0.003910105;0.000992544837550094;0.000968048844;0.0024971595;0.0057643295;1.00018775801447;5901.30898415847;6187.87699013735;
lambda[11];0.00399921931;0.00391589;0.000995098632952376;0.000969716769;0.0025155405;0.005765967;1.00030483023243;7220.10905671274;6694.88300125227;
lambda[12];0.00376778028625;0.003686675;0.00092632732946946;0.000913496577;0.002398349;0.005419139;1.00077537152823;6816.37286195266;7003.20589379384;
lambda[13];0.00898540840125;0.00894296;0.00100540315196133;0.000988345637999999;0.007421633;0.010708855;1.00120915977292;6721.18587787897;6551.92681115859;
lambda[14];0.00899637796625;0.008970025;0.00100426658518017;0.001005610515;0.007400222;0.010683695;1.00065565697414;6265.32229914152;6424.95479825035;
lambda[15];0.008859136475;0.00883036;0.000955417243692117;0.000951265811999997;0.0073467075;0.010482085;1.00033502578467;7339.8767740211;6338.4962957421;
lambda[16];0.0140032176125;0.0139747;0.0010033361426451;0.000977329920000001;0.012404465;0.01570457;1.00044017535992;7192.00286008617;6842.46579168658;
lambda[17];0.0139888282625;0.013963;0.000996616214500274;0.00101521035;0.012402275;0.015662335;0.999630395157631;6671.01450373633;6779.37508265037;
lambda[18];0.0143214668625;0.01428915;0.00098425342663444;0.00100023609;0.012740475;0.015954555;1.00047477558507;6962.66252454236;6911.69788672131;
lambda[19];0.0139927908625;0.01395035;0.000993163036955667;0.00099564003;0.012427165;0.01567561;0.999989682492931;7018.5512247422;6437.97959097055;
lambda[20];0.0139970242125;0.01397435;0.00100187480090683;0.0009911181;0.012417895;0.015666035;0.999753471224005;7066.88865107441;6940.34034373559;
lambda[21];0.0140199707125;0.01400335;0.00100367979316707;0.00101343123;0.012433875;0.015688275;1.00075255952971;7582.70277167643;6848.23034928263;
s1[1;1];-15.1550823625;-15.1605;0.386088880357374;0.389923800000002;-15.7908;-14.52579;1.00010309988998;7087.09159341178;6869.91602005354
s1[2;1];-15.1564101625;-15.1542;0.39111371922453;0.393852689999999;-15.799835;-14.516185;1.00002320305993;7047.77547621922;6945.6264606514
s1[3;1];-15.170296225;-15.18035;0.383218205168212;0.38436405;-15.792515;-14.536465;1.00021278685831;7094.81711205394;6273.89565356051
s1[4;1];-17.2310161;-17.23475;0.837326657489303;0.850938270000003;-18.587565;-15.852985;0.999869684038563;7472.16988708878;7057.92707603859
s1[5;1];-17.19411855;-17.19505;0.861339135161997;0.85412586;-18.605995;-15.776555;1.00008998219658;6712.61070517708;6659.27314301323
s1[6;1];-17.0597890875;-17.0558;0.814945674687125;0.779921730000002;-18.39391;-15.70407;1.00027586853343;7179.71825835294;6393.49157682698
s1[7;1];-14.8537314;-14.8572;0.726531287600901;0.716466449999999;-16.026745;-13.64683;1.00030593517885;7285.41412853981;6947.02338778095
s1[8;1];-15.049194975;-15.05315;0.861210354002714;0.876438989999998;-16.453425;-13.644495;1.00024831582861;7519.38616197743;6094.60384339206
s1[9;1];-15.7122321125;-15.71205;0.795818894439326;0.79044819;-17.031615;-14.425445;1.00059395199992;6767.26396526138;6933.12495420215
s1[10;1];-17.4433530625;-17.43425;0.481758516766108;0.476359380000004;-18.239125;-16.65867;1.00018602305325;7019.98560946414;6532.53844090409
s1[11;1];-17.162785325;-17.16445;0.507945157785325;0.511200479999999;-18.0065;-16.324195;1.00039486596594;7083.23903444273;5805.77165831589
s1[12;1];-17.1304863625;-17.1247;0.488025376157573;0.490740599999999;-17.92394;-16.31329;0.999827263281534;7153.56792932809;7020.97887519297
s1[13;1];-19.4188531875;-19.4204;0.412673990836203;0.416907120000003;-20.09773;-18.73938;1.0005965681078;7325.01220217164;6976.79133144371
s1[14;1];-19.4527445875;-19.4503;0.417494463375352;0.422170349999996;-20.146325;-18.784885;1.00053528643155;6844.47754495037;6764.89465303442
s1[15;1];-19.40798025;-19.41395;0.405358197022614;0.407344350000001;-20.0688;-18.734885;1.00053340875096;7392.01431651762;6683.62579956419
s1[16;1];-20.0993686;-20.09965;0.0696992876066651;0.0700528499999974;-20.2134;-19.9856;0.999863624333932;7419.31933337614;6797.54436005994
s1[17;1];-20.1007808;-20.1007;0.069516643380009;0.0689409000000026;-20.218;-19.988095;1.00059726888426;6658.2441688661;6920.07736273274
s1[18;1];-20.0948748125;-20.0959;0.0693819545255938;0.0699045900000004;-20.207105;-19.98249;1.00004992424756;7212.36172509082;7035.93174813273
s1[19;1];-16.5884272625;-16.5908;0.128613107018368;0.127207080000004;-16.793905;-16.37568;0.99982912214263;6750.47183740205;6561.33922672267
s1[20;1];-16.6095894;-16.6088;0.131905076053866;0.12987576;-16.826415;-16.389895;1.00053417541665;6874.42869711107;6669.51651184318
s1[21;1];-16.6122469875;-16.6131;0.131365372115519;0.12876381;-16.82861;-16.3927;1.00069411127361;7259.78927551446;6359.05523839404
s1[1;2];-21.5087110625;-21.5104;0.15983034181169;0.16056558;-21.7656;-21.2408;1.00147430115743;6027.42735663973;6678.77727059235
s1[2;2];-21.5131051375;-21.5132;0.160796914805081;0.159972540000001;-21.7805;-21.2521;1.00104469025462;7175.67604591381;6730.88376673178
s1[3;2];-21.509349375;-21.50845;0.158440883206618;0.160194929999998;-21.7689;-21.253;1.00004905441449;6835.64238470236;5747.0794302321
s1[4;2];-20.0704960625;-20.0723;0.160128407626855;0.160713840000002;-20.338115;-19.804295;1.00007368401776;6530.41750737591;7028.36584562326
s1[5;2];-20.0735675875;-20.0725;0.158703313484293;0.15700734;-20.33441;-19.8139;1.00041568056065;7456.50685597015;6936.63676998101
s1[6;2];-20.0669648;-20.06785;0.159649707052911;0.159008850000001;-20.334315;-19.804585;1.00004197371822;7172.36149592663;6952.2928588641
s1[7;2];-22.2367295125;-22.2381;0.651264006687045;0.647747939999999;-23.29665;-21.152285;1.00054110174144;7085.48309244182;6923.73637872431
s1[8;2];-22.237885525;-22.23705;0.656553357402781;0.65649528;-23.312715;-21.169895;1.00081000204986;7298.19882708017;6492.34173114496
s1[9;2];-22.3171167;-22.3207;0.654879503511237;0.64952706;-23.40411;-21.250655;1.00027329721409;6270.69852193648;6213.99605977651
s1[10;2];-20.2106771375;-20.2059;0.893140950443;0.899122770000001;-21.66703;-18.74039;1.000177457027;6927.44754244241;7133.60652990318
s1[11;2];-19.9992898625;-19.9918;0.911060869051498;0.91098357;-21.49063;-18.49118;1.00015448336499;6650.86639019639;6278.6090344908
s1[12;2];-19.970946125;-19.9869;0.900307232102745;0.895712790000001;-21.439915;-18.486325;1.00053694250217;6740.4112394573;6539.21923855386
s1[13;2];-20.8554249125;-20.8498;0.909956804813528;0.917062229999999;-22.36932;-19.376645;1.00000215047392;7232.20021239666;7002.69131691788
s1[14;2];-20.9129046875;-20.90905;0.939724003106513;0.94011666;-22.468995;-19.370295;1.00073351669218;7031.67875099866;7045.19262622454
s1[15;2];-20.7340274875;-20.74495;0.878121083894718;0.8769579;-22.16657;-19.279375;1.0000815669527;6890.46717653196;7324.61133307107
s1[16;2];-21.55362505;-21.5344;0.867991946176533;0.868655340000001;-23.008215;-20.150115;0.999863578064335;6703.31778591866;6783.16724389752
s1[17;2];-21.833157675;-21.8186;0.972732806259068;1.00334955;-23.44691;-20.245355;1.0006487564909;6576.77483769576;6879.62130166407
s1[18;2];-20.7781074875;-20.6868;1.03049244998878;1.06087443;-22.624365;-19.253835;0.999989476420149;6409.33389355433;6958.37451847223
s1[19;2];-17.9875019625;-17.9864;0.373932213151532;0.37494954;-18.60265;-17.366975;1.00052862337698;6382.37044204478;6708.97966063815
s1[20;2];-18.1953159625;-18.1962;0.366658511519175;0.371020649999999;-18.79911;-17.594785;1.00076381370525;6863.13092060761;6694.55844013987
s1[21;2];-18.2004841875;-18.20125;0.364709797950103;0.365683290000001;-18.81201;-17.610695;1.00017767551616;7026.55040872248;6958.66139150871
s1[1;3];-28.943186075;-28.9394;0.382484289618633;0.37865604;-29.5806;-28.313195;1.00102640424127;6723.75708432905;6698.13235614581
s1[2;3];-28.9476401;-28.94015;0.385965208344284;0.383771010000004;-29.59831;-28.320595;1.00013067111484;7318.44479925642;6960.72320865743
s1[3;3];-28.939009625;-28.94005;0.374676482439412;0.376654529999999;-29.552815;-28.31989;1.00051376083448;6758.94861625928;6410.30042919295
s1[4;3];-26.5689683625;-26.5687;0.079472571441473;0.0800603999999978;-26.7;-26.4376;1.00015638389889;7075.35046181875;6652.32906962586
s1[5;3];-26.5709571;-26.5715;0.0795952647797714;0.0791708399999998;-26.70171;-26.43849;1.00056152339184;6991.34547339321;6362.99134907199
s1[6;3];-26.57013885;-26.5704;0.0797985632672352;0.0791708399999998;-26.7022;-26.4396;1.00098332477604;7224.2636837273;6057.94720950977
s1[7;3];-30.169795775;-30.1699;0.0300668724970206;0.030245039999998;-30.2186;-30.1212;1.00023888779643;6819.97743522511;6794.66701876149
s1[8;3];-30.169853625;-30.16955;0.029748514393545;0.0298743899999962;-30.219;-30.120795;1.0003807054659;7119.82788891807;6293.60305977766
s1[9;3];-30.17048315;-30.1704;0.0302033344807195;0.0303933000000029;-30.2202;-30.121;0.999829059720085;7319.92583280956;7049.51890125294
s1[10;3];-28.10035085;-28.1006;0.0799194840277914;0.0800603999999978;-28.233505;-27.968795;1.0001601203927;6478.13020287388;6223.26441995231
s1[11;3];-28.101913;-28.10235;0.0794802980192051;0.079244969999997;-28.231105;-27.972095;1.0007987968749;7031.65059796538;6687.83423979199
s1[12;3];-28.09864075;-28.0987;0.0803580201558184;0.0791708399999998;-28.2318;-27.9671;1.00050610202094;7342.70708508433;6313.29189287189
s1[13;3];-28.0202930875;-28.021;0.0643272842260913;0.0636035399999993;-28.1248;-27.912995;1.00028918365118;7232.04938316215;6779.95960707795
s1[14;3];-28.0201525875;-28.0203;0.0661529382356483;0.0652344000000007;-28.130505;-27.9104;1.00020644903008;6393.342871773;6363.94294715359
s1[15;3];-28.02106095;-28.02105;0.0647118250603036;0.0633811499999971;-28.129205;-27.914695;0.999954495898844;7161.92865744751;6820.00032859203
s1[16;3];-27.9402268625;-27.94015;0.0496003859807792;0.0489999300000043;-28.021705;-27.858;1.00126710391402;6905.17573371661;6217.17680988778
s1[17;3];-27.93943405;-27.93935;0.049736955538018;0.049889489999997;-28.02181;-27.859395;0.999800475363598;7105.21733982952;6768.33450301186
s1[18;3];-27.9394879;-27.9387;0.0498025244844137;0.0487034099999997;-28.0218;-27.8587;1.00031046934591;7278.70616606105;6852.28906866056
s1[19;3];-29.597821925;-29.5968;0.222163318139573;0.224762160000003;-29.9567;-29.235095;0.999913896061865;7079.70004768925;6774.85966836798
s1[20;3];-29.5966062125;-29.5957;0.217396895168511;0.21801633;-29.95771;-29.241895;0.999986286106683;7290.06399169923;6832.32599822063
s1[21;3];-29.59733715;-29.5959;0.224329144931138;0.226763669999998;-29.96491;-29.23168;0.999940471775375;6719.20944408705;6513.13468200891
s2[1;1];8.33297438375;8.33525;0.616308046391901;0.606650267999999;7.323351;9.3440615;1.00045340275309;7262.92078165403;7037.38246680729
s2[2;1];8.34585206125;8.348125;0.62365814671209;0.617562204000001;7.3129135;9.372241;1.0003039029315;7458.06615199869;6112.90264168299
s2[3;1];8.06557180375;8.06564;0.603174635470892;0.614656308;7.071604;9.067109;1.00025286868609;6501.16469821543;6409.51840254712
s2[4;1];12.5934496625;12.58565;0.372829785265319;0.373318679999999;11.9978;13.217525;1.0001369660693;6979.29499949883;6830.37913588318
s2[5;1];12.7638872125;12.7643;0.383781729244883;0.38206602;12.13275;13.388;1.00115789766983;7209.46899671125;6576.92643035616
s2[6;1];12.854450625;12.85685;0.37263645928164;0.36968631;12.229945;13.46031;0.999777536667609;7282.90413179506;6928.94662391549
s2[7;1];9.75570919625;9.756495;0.0795763980117946;0.0800752259999998;9.6228875;9.8861905;1.00068631123109;7122.04273038334;6406.93874729291
s2[8;1];9.74931027;9.748935;0.0796791108297208;0.0813947399999986;9.6195615;9.8791715;1.00003966035613;6476.22402665975;6413.81205693332
s2[9;1];9.7583908725;9.758635;0.0801470419189304;0.0804977669999996;9.6266815;9.8900425;1.00007696130172;6805.39793404479;6846.34938214436
s2[10;1];10.81813140375;10.81935;0.34574499644505;0.348633390000001;10.254995;11.400345;0.999804780545681;6997.18121584774;7045.50770554365
s2[11;1];10.6161285175;10.6209;0.333251178499302;0.327432209999999;10.06379;11.1674;1.00048023520053;6954.26797120506;6578.32779419117
s2[12;1];10.63619639375;10.6341;0.339834251078608;0.344926889999999;10.087065;11.20413;1.00078223081234;6567.35124225803;6275.54803499413
s2[13;1];11.4706179875;11.47075;0.0198145069213294;0.0197927100000013;11.4381;11.5031;0.999737844008194;7481.8032537681;6986.67713771721
s2[14;1];11.4702762;11.47;0.0201968072337636;0.0201633599999978;11.4376;11.5037;1.00053126041613;7258.5819651603;6934.85518581214
s2[15;1];11.4696971;11.4695;0.019971079016659;0.0200151000000008;11.4368;11.5025;1.00048263468318;7458.45801089813;6604.28669486332
s2[16;1];11.581798425;11.58105;0.110036004847571;0.111046740000001;11.399495;11.7635;0.999897947378472;7167.79153092295;6208.35098728346
s2[17;1];11.5899288625;11.5905;0.110934893933526;0.11082435;11.40969;11.7741;1.0000504800687;7042.06904415235;6910.73336510381
s2[18;1];11.5856089125;11.58405;0.109600156346153;0.10949001;11.406395;11.765505;0.999822989238575;7209.52597277329;6963.45786394601
s2[19;1];9.359899845;9.36088;0.11923197635198;0.118622826;9.159444;9.5537675;1.00044258077175;7335.38934519991;6961.12648741554
s2[20;1];9.370930645;9.371815;0.118696252103918;0.120409359;9.1760785;9.5639805;1.00125116414342;6511.80552455243;6870.04441937296
s2[21;1];9.37280244375;9.37232;0.118931817203739;0.119971992;9.1749495;9.5710205;0.999944872361363;6765.51749574637;6888.01966197182
s2[1;2];7.658441795;7.658365;0.089741152051745;0.0887632620000001;7.508414;7.8040725;0.999853211508451;7273.24175144609;6877.72560909045
s2[2;2];7.6597512;7.65971;0.0887414895304362;0.0901198410000008;7.514693;7.8068675;1.00014315889654;6841.37117185913;6466.93985759593
s2[3;2];7.6590550875;7.65803;0.0893569834217121;0.0912243780000005;7.512508;7.8046715;1.00038487762794;7259.19195429729;6550.42377191669
s2[4;2];6.548498265;6.54983;0.231940892866454;0.23232342;6.1694325;6.9236835;1.00001173392119;7177.45401264731;6756.38856802031
